BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA460274,Gene expression profiling of inbread Zea mays ZS365 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984806
PRJNA460273,Gene expression profiling of inbread Zea mays ZS1791 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984807
PRJNA460272,Gene expression profiling of inbread Zea mays WIL903 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984808
PRJNA460271,Gene expression profiling of inbread Zea mays WDAD1 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984809
PRJNA460270,Gene expression profiling of inbread Zea mays WD456 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984810
PRJNA460269,Gene expression profiling of inbread Zea mays W64AxPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984811
PRJNA460268,Gene expression profiling of inbread Zea mays W64AxMo17XB73_L?? transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984812
PRJNA460267,Gene expression profiling of inbread Zea mays W64AxMo17_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984813
PRJNA460266,Gene expression profiling of inbread Zea mays W64AxMo17_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984814
PRJNA460265,Gene expression profiling of inbread Zea mays W64AxMo17_L_T2 transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984815
PRJNA460264,Gene expression profiling of inbread Zea mays W64AxMo17_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984816
PRJNA460263,Gene expression profiling of inbread Zea mays W64AxMo17_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984817
PRJNA460262,Gene expression profiling of inbread Zea mays W64AxMo17_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984818
PRJNA460261,Gene expression profiling of inbread Zea mays W64AxB73_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984819
PRJNA460260,Gene expression profiling of inbread Zea mays W64AxB73_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984820
PRJNA460259,Gene expression profiling of inbread Zea mays W64AxB73_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984821
PRJNA460258,Gene expression profiling of inbread Zea mays W616S transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984822
PRJNA460257,Gene expression profiling of inbread Zea mays W615S transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984823
PRJNA460256,Gene expression profiling of inbread Zea mays W613S transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984824
PRJNA460255,Gene expression profiling of inbread Zea mays W10007_0048 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984825
PRJNA460253,Gene expression profiling of inbread Zea mays W10007_0016 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984827
PRJNA460252,Gene expression profiling of inbread Zea mays W10002_0004 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984828
PRJNA460251,Gene expression profiling of inbread Zea mays W10002_0001 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984829
PRJNA460250,Gene expression profiling of inbread Zea mays W10001-0022 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984830
PRJNA460249,Gene expression profiling of inbread Zea mays W10001-0016 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984831
PRJNA460248,Gene expression profiling of inbread Zea mays W10001_0047 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984832
PRJNA460247,Gene expression profiling of inbread Zea mays W10001_0040 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984833
PRJNA460246,Gene expression profiling of inbread Zea mays W10001_0031 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984834
PRJNA460245,Gene expression profiling of inbread Zea mays W10001_0030 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984835
PRJNA460244,Gene expression profiling of inbread Zea mays W10001_0018 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984836
PRJNA460243,Gene expression profiling of inbread Zea mays W10001_0012 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984837
PRJNA460242,Gene expression profiling of inbread Zea mays W10001_0010 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984838
PRJNA460241,Gene expression profiling of inbread Zea mays W10001_0009 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984839
PRJNA460240,Gene expression profiling of inbread Zea mays W10001_0007 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984840
PRJNA460239,Gene expression profiling of inbread Zea mays W10001_0003 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984841
PRJNA460238,Gene expression profiling of inbread Zea mays Va35 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984842
PRJNA460237,Gene expression profiling of inbread Zea mays Tr9-1-1-6 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984843
PRJNA460236,Gene expression profiling of inbread Zea mays SA24 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984844
PRJNA460235,Gene expression profiling of inbread Zea mays Q381xPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984845
PRJNA460234,Gene expression profiling of inbread Zea mays Q381xMo17_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984846
PRJNA460233,Gene expression profiling of inbread Zea mays Q381xB73_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984847
PRJNA460232,Gene expression profiling of inbread Zea mays Q381xB73_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984848
PRJNA460231,Gene expression profiling of inbread Zea mays Q381xB73_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984849
PRJNA460230,Gene expression profiling of inbread Zea mays Q381xB73_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984850
PRJNA460229,Gene expression profiling of inbread Zea mays Q381xB73_E_T2 transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984851
PRJNA460228,Gene expression profiling of inbread Zea mays Q381xB73_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984852
PRJNA460227,Gene expression profiling of inbread Zea mays Q381 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984853
PRJNA460226,Gene expression profiling of inbread Zea mays PHWRZ transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984854
PRJNA460225,Gene expression profiling of inbread Zea mays PHW65xPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984855
PRJNA460224,Gene expression profiling of inbread Zea mays PHW65xMo17_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984856
PRJNA460223,Gene expression profiling of inbread Zea mays PHW65xMo17_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984857
PRJNA460222,Gene expression profiling of inbread Zea mays PHW65xMo17_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984858
PRJNA460221,Gene expression profiling of inbread Zea mays PHW65xMo17_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984859
PRJNA460220,Gene expression profiling of inbread Zea mays PHW65xMo17_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984860
PRJNA460219,Gene expression profiling of inbread Zea mays PHW65xB73_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984861
PRJNA460218,Gene expression profiling of inbread Zea mays PHW65xB73_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984862
PRJNA460217,Gene expression profiling of inbread Zea mays PHW65xB73_L_T2 transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984863
PRJNA460216,Gene expression profiling of inbread Zea mays PHW65xB73_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984864
PRJNA460215,Gene expression profiling of inbread Zea mays PHW65xB73_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984865
PRJNA460214,Gene expression profiling of inbread Zea mays PHW65xB73_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984866
PRJNA460213,Gene expression profiling of inbread Zea mays PHW65-MoG-242 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984867
PRJNA460212,Gene expression profiling of inbread Zea mays PHW65_ MoG_115 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984868
PRJNA460211,Gene expression profiling of inbread Zea mays PHW30 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984869
PRJNA460210,Gene expression profiling of inbread Zea mays PHW06 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984870
PRJNA460209,Gene expression profiling of inbread Zea mays PHV57 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984871
PRJNA460208,Gene expression profiling of inbread Zea mays PHV07 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984872
PRJNA460207,Gene expression profiling of inbread Zea mays PHTE4 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984873
PRJNA460206,Gene expression profiling of inbread Zea mays PHTD5 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984874
PRJNA460205,Gene expression profiling of inbread Zea mays PHT11 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984875
PRJNA460204,Gene expression profiling of inbread Zea mays PHRE1 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984876
PRJNA460202,Gene expression profiling of inbread Zea mays PHRD6 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984878
PRJNA460201,Gene expression profiling of inbread Zea mays PHR63 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984879
PRJNA460200,Gene expression profiling of inbread Zea mays PHR61 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984880
PRJNA460199,Gene expression profiling of inbread Zea mays PHR55 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984881
PRJNA460198,Gene expression profiling of inbread Zea mays PHR47 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984882
PRJNA460197,Gene expression profiling of inbread Zea mays PHR30 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984883
PRJNA460196,Gene expression profiling of inbread Zea mays PHPR5 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984884
PRJNA460195,Gene expression profiling of inbread Zea mays PHP38 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984885
PRJNA460194,Gene expression profiling of inbread Zea mays PHN41 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984886
PRJNA460193,Gene expression profiling of inbread Zea mays PHN37 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984887
PRJNA460192,Gene expression profiling of inbread Zea mays PHN34 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984888
PRJNA460191,Gene expression profiling of inbread Zea mays PHN29 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984889
PRJNA460190,Gene expression profiling of inbread Zea mays PHN18 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984890
PRJNA460189,Gene expression profiling of inbread Zea mays PHN11xPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984891
PRJNA460188,Gene expression profiling of inbread Zea mays PHN11xMo17_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984892
PRJNA460187,Gene expression profiling of inbread Zea mays PHN11xMo17_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984893
PRJNA460186,Gene expression profiling of inbread Zea mays PHN11xMo17_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984894
PRJNA460185,Gene expression profiling of inbread Zea mays PHN11xMo17_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984895
PRJNA460184,Gene expression profiling of inbread Zea mays PHN11xB73_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984896
PRJNA460183,Gene expression profiling of inbread Zea mays PHN11xB73_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984897
PRJNA460182,Gene expression profiling of inbread Zea mays PHN11xB73_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984898
PRJNA460181,Gene expression profiling of inbread Zea mays PHN11xB73_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984899
PRJNA460180,Gene expression profiling of inbread Zea mays PHN11xB73_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984900
PRJNA460179,Gene expression profiling of inbread Zea mays PHN11-PHG47-071 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984901
PRJNA460178,Gene expression profiling of inbread Zea mays PHMK0 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984902
PRJNA460177,Gene expression profiling of inbread Zea mays PHKM5 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984903
PRJNA460176,Gene expression profiling of inbread Zea mays PHK46 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984904
PRJNA460175,Gene expression profiling of inbread Zea mays PHK42 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984905
PRJNA460174,Gene expression profiling of inbread Zea mays PHJ89 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984906
PRJNA460173,Gene expression profiling of inbread Zea mays PHJ75 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984907
PRJNA460172,Gene expression profiling of inbread Zea mays PHJ40xPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984908
PRJNA460171,Gene expression profiling of inbread Zea mays PHJ40xMo17_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984909
PRJNA460170,Gene expression profiling of inbread Zea mays PHJ40xMo17_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984910
PRJNA460169,Gene expression profiling of inbread Zea mays PHJ40xMo17_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984911
PRJNA460168,Gene expression profiling of inbread Zea mays PHJ40xMo17_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984912
PRJNA460167,Gene expression profiling of inbread Zea mays PHJ40xMo17_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984913
PRJNA460166,Gene expression profiling of inbread Zea mays PHJ40xB73_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984914
PRJNA460165,Gene expression profiling of inbread Zea mays PHJ40xB73_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984915
PRJNA460164,Gene expression profiling of inbread Zea mays PHJ40xB73_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984916
PRJNA460163,Gene expression profiling of inbread Zea mays PHJ40xB73_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984917
PRJNA460162,Gene expression profiling of inbread Zea mays PHJ40xB73_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984918
PRJNA460161,Gene expression profiling of inbread Zea mays PHHV4 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984919
PRJNA460160,Gene expression profiling of inbread Zea mays PHHH9 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984920
PRJNA460159,Gene expression profiling of inbread Zea mays PHHB9-2 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984921
PRJNA460158,Gene expression profiling of inbread Zea mays PHHB9-1 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984922
PRJNA460157,Gene expression profiling of inbread Zea mays PHHB4-2 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984923
PRJNA460156,Gene expression profiling of inbread Zea mays PHHB4-1 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984924
PRJNA460155,Gene expression profiling of inbread Zea mays PHG86 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984925
PRJNA460154,Gene expression profiling of inbread Zea mays PHG83xPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984926
PRJNA460153,Gene expression profiling of inbread Zea mays PHG83xMo17_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984927
PRJNA460152,Gene expression profiling of inbread Zea mays PHG83xB73_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984928
PRJNA460151,Gene expression profiling of inbread Zea mays PHG83 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984929
PRJNA460150,Gene expression profiling of inbread Zea mays PHG72xPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984930
PRJNA460149,Gene expression profiling of inbread Zea mays PHG72xMo17_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984931
PRJNA460148,Gene expression profiling of inbread Zea mays PHG72xB73_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984932
PRJNA460147,Gene expression profiling of inbread Zea mays PHG72xB73_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984933
PRJNA460146,Gene expression profiling of inbread Zea mays PHG72xB73_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984934
PRJNA460145,Gene expression profiling of inbread Zea mays PHG72xB73_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984935
PRJNA460144,Gene expression profiling of inbread Zea mays PHG71 transcriptome,Gene expression profiling of Zea mays inbred line,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984936
PRJNA460143,Gene expression profiling of inbread Zea mays PHG50xPH207_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984937
PRJNA460142,Gene expression profiling of inbread Zea mays PHG50xMo17_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984938
PRJNA460141,Gene expression profiling of inbread Zea mays PHG50xMo17_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984939
PRJNA460140,Gene expression profiling of inbread Zea mays PHG50xMo17_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984940
PRJNA460139,Gene expression profiling of inbread Zea mays PHG50xMo17_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984941
PRJNA460138,Gene expression profiling of inbread Zea mays PHG50xMo17_E transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Endosperm,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984942
PRJNA460137,Gene expression profiling of inbread Zea mays PHG50xB73_S transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Seedling Shoot,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984943
PRJNA460136,Gene expression profiling of inbread Zea mays PHG50xB73_R transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Root,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984944
PRJNA460135,Gene expression profiling of inbread Zea mays PHG50xB73_L transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Leaf,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984945
PRJNA460134,Gene expression profiling of inbread Zea mays PHG50xB73_I transcriptome,Gene expression profiling of Zea mays inbred line. Sample collected from Internode,2018-05-04,transcriptome,DOE Joint Genome Institute,no,,SUB3984946
