BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA1391363,The genetic architecture of leaf vein density and its importance for photosynthesis in maize,"Leaf venation density has significantly increased during plant evolution. For example, higher vein density is observed in angiosperms compared to early land plants, and among angiosperms, recently diverged C4 species typically have the highest values. This adaptation has allowed plant leaves to increase water conductance, transpiration and possibly photosynthesis, although the relationship between vein density and photosynthetic efficiency has not been clearly established. The genetic architecture of vein density is still not well characterized. Using diverse native varieties of maize, a C4 plant adapted to a wide range of environmental conditions, we show that vein density is variable and plastic. We leverage this plasticity to show that higher densities are correlated with higher photosynthetic rates, but only for small intermediate veins. Moreover, we find that varieties adapted to drier environments can substantially increase vein density in response to heat, suggesting a role in water use efficiency in hot environments. Finally, using a MAGIC population, we mapped 12 QTLs associated with vein architecture traits and identified a short list of candidate genes associated with small intermediate vein development. These findings have implications for understanding vein architecture evolution, particularly that of C4 plants, which have significantly higher photosynthetic efficiency and productivity under warm and dry conditions. Overall design: RNA-seq profiling of fifth and ninth leaf primordia at Plastochron Stage 4 from eight native maize landraces grown at 35°C",2025-12-19,Transcriptome or Gene expression,"UGA, Cinvestav",yes,GSE314465,SUB16197715
PRJDB36525,Genomic basis underlying alternative transcription-mediated maize drought tolerance (PRJCA039060),This project investigates the molecular mechanisms by which the transcription factor ZmMBF1 regulates drought tolerance in maize (Zea mays L.) through genome-wide alternative transcription dynamics under progressive drought stress. RNA-seq data were generated from leaf tissues of B104 wild-type (WT) and ZmMBF1 knockout mutants under well-watered (WW) and drought-stressed (DS) conditions .,2025-12-09T23:12:18Z,Other,Huazhong Agricultural University,no,,
PRJDB38622,RNA-seq data of zmice1 and zmfama (PRJCA039482),"This project aims to analyze and compare the RNA-sequencing (RNA-seq) data of two maize inbred lines, zmice1 and zmfama, to identify differentially expressed genes that contribute to stomatal development.",2025-12-05T18:43:08Z,Other,Henan University,no,,
PRJNA1366107,AMF-induced pericycle cell RNA-seq,This project investigates how arbuscular mycorrhizal fungi (AMF) influence transcriptional regulation in maize pericycle cells during early lateral root development. Maize plants were cultivated for six weeks either with AMF inoculation (+AMF) or without inoculation (-AMF). Phloem-pole pericycle cells were isolated specifically at the lateral root initiation stage using laser capture microdissection to obtain high spatial and developmental resolution.,2025-11-19,raw sequence reads,University of Bonn,yes,,SUB15780564
PRJNA1366082,Cell type-specific RNA-seq of maize pericycle cells in the lrt1 mutant during early lateral root development,"This project investigates the transcriptional regulation of early lateral root development in maize by profiling xylem-pole and phloem-pole pericycle cells in wild type and the lateral rootless 1 (lrt1) mutant. Cell type-specific RNA was isolated using laser capture microdissection from three developmental stages: priming, founder cell establishment, and lateral root initiation. Forty-eight RNA-seq libraries (2 genotypes x 2 pericycle cell types x 3 stages x 4 biological replicates) were generated to characterize lrt1-dependent transcriptional networks. The data provide insights into cell identity, auxin responsiveness, and developmental reprogramming in maize pericycle cells. This project supports a deeper understanding of the molecular basis of lateral root initiation in a major crop species.",2025-11-19,raw sequence reads,University of Bonn,yes,,SUB15774786
PRJDB36832,ZmHsf28 Salt RNA-seq data (PRJCA040401),The RNA sequencing data of the maize transcription factor ZmHsf28 after salt stress treatment,2025-11-13T02:02:52Z,Other,Sichuan Agricultural University,no,,
PRJDB36746,Transcriptome sequencing data of wild type and grf1 of maize (PRJCA040036),"To investigate which downstream genes are regulated by ZmGRF1 transcription factors in maize under salt stress, grf1 subjected to short-term salt stress were sequenced.",2025-11-13T02:42:06Z,Other,China Agricultural University,no,,
PRJNA1362955,Single-cell transcriptome atlas of maize root tips,"This project presents a single-cell RNA sequencing (scRNA-seq) dataset generated from root tips of Zea mays (maize). The root tips were dissected from seedlings grown under controlled conditions, and single-cell suspensions were prepared using enzymatic digestion. Libraries were constructed using the 10x Genomics Chromium platform and sequenced on an Illumina NovaSeq system with paired-end 150 bp reads.</p><p>The goal of this study is to characterize cellular heterogeneity, identify distinct cell types, and reconstruct developmental trajectories in the maize root apex. This resource provides a high-resolution transcriptional atlas of root development in an important cereal crop and will facilitate comparative analyses with other plant species, functional gene discovery, and studies of root architecture and stress responses.</p><p>Raw sequencing data are available for download and reuse by the research community.",2025-11-13,raw sequence reads,Gansu Agricultural University,no,,SUB15766146
PRJNA1358369,Single-cell transcriptome atlas of maize root tips,"This project presents a single-cell RNA sequencing (scRNA-seq) dataset generated from root tips of Zea mays (maize). The root tips were dissected from seedlings grown under controlled conditions, and single-cell suspensions were prepared using enzymatic digestion. Libraries were constructed using the 10x Genomics Chromium platform and sequenced on an Illumina NovaSeq system with paired-end 150 bp reads.</p><p>The goal of this study is to characterize cellular heterogeneity, identify distinct cell types, and reconstruct developmental trajectories in the maize root apex. This resource provides a high-resolution transcriptional atlas of root development in an important cereal crop and will facilitate comparative analyses with other plant species, functional gene discovery, and studies of root architecture and stress responses.",2025-11-07,raw sequence reads,Gansu Agricultural University,yes,,SUB15753521
PRJNA1356330,Zea mays subsp. mays Transcriptome or Gene expression,Biological control is a disease management method with great potential. Certain specific microorganisms in the maize phyllosphere microbiome can inhibit particular pathogens.,2025-11-03,transcriptome,Anhui Agricultural University,no,,SUB15744865
PRJNA1354973,Zea mays subsp. mays Transcriptome or Gene expression,"Biological control is a highly promising approach to disease management, and certain specific microorganisms in the maize phyllosphere microbiome can suppress particular pathogens.",2025-10-30,transcriptome,Anhui Agricultural University,no,,SUB15740213
PRJNA1345946,Transcriptome Analysis of Maize Response to Drought Stress at Seedling Stage,"This project aims to explore the molecular mechanisms underlying drought tolerance in maize seedlings. We will perform RNA sequencing (RNA-seq) on maize plants subjected to drought stress and control conditions at the seedling stage. By comparing the transcriptomic profiles, we intend to identify differentially expressed genes (DEGs), key metabolic pathways, and regulatory networks involved in drought response. The results will provide valuable insights for breeding drought-resistant maize varieties and advancing our understanding of plant abiotic stress adaptation.",2025-10-16,raw sequence reads,Huazhong Agricultural University,no,,SUB15713061
